"18269696","18269951","IN","India","Karnataka","Nelamangala"
"18269952","18270207","IN","India","Maharashtra","Mumbai"
"18270208","18270719","IN","India","Rajasthan","Jaipur"
"18270720","18271743","IN","India","Karnataka","Bangalore"
"18271744","18271999","IN","India","Maharashtra","Mumbai"
"18272000","18272255","IN","India","Rajasthan","Jaipur"
"18272256","18272511","IN","India","Madhya Pradesh","Jabalpur"
"18272512","18272767","IN","India","Maharashtra","Mumbai"
"18272768","18273279","IN","India","Delhi","New Delhi"
"18273280","18273535","IN","India","Delhi","Pitampura"
"18273536","18273791","IN","India","Delhi","New Delhi"
"18273792","18274047","IN","India","Delhi","Delhi"
"18274048","18274303","IN","India","Madhya Pradesh","Jabalpur"
"18274304","18275327","IN","India","Delhi","New Delhi"
"18275328","18275583","IN","India","Uttar Pradesh","Noida"
"18275584","18275839","IN","India","Delhi","Delhi"
"18275840","18276351","IN","India","Delhi","New Delhi"
"18276352","18276607","IN","India","Maharashtra","Pune"
"18276608","18276863","IN","India","Delhi","New Delhi"
"18276864","18277119","IN","India","Maharashtra","Pune"
"18277120","18277375","IN","India","Delhi","New Delhi"
"18277376","18277631","IN","India","Delhi","Delhi"
"18277632","18277887","IN","India","Gujarat","Ahmedabad"
"18277888","18278143","IN","India","Karnataka","Yelahanka"
"18278144","18278399","IN","India","Maharashtra","Mumbai"
"18278400","18278655","IN","India","Gujarat","Utran"
"18278656","18278911","IN","India","Gujarat","Surat"
"18278912","18279167","IN","India","Karnataka","Bangalore"
"18279168","18280703","IN","India","Maharashtra","Mumbai"
"18280704","18280959","IN","India","Uttar Pradesh","Allahabad"
"18280960","18281471","IN","India","Delhi","New Delhi"
"18281472","18281727","IN","India","Delhi","Pitampura"
"18281728","18281983","IN","India","Uttar Pradesh","Noida"
"18281984","18282239","IN","India","Delhi","Delhi"
"18282240","18282495","IN","India","Delhi","New Delhi"
"18282496","18282751","IN","India","Maharashtra","Mumbai"
"18282752","18283007","IN","India","Delhi","New Delhi"
"18283008","18283263","IN","India","Kerala","Cochin"
"18283264","18283519","IN","India","Maharashtra","Mumbai"
"18283520","18283775","IN","India","Chhattisgarh","Raipur"
"18283776","18284031","IN","India","Maharashtra","Mumbai"
"18284032","18288383","IN","India","Telangana","Hyderabad"
"18288384","18288639","IN","India","Madhya Pradesh","Indore"
"18288640","18289151","IN","India","Tamil Nadu","Chennai"
"18289152","18289663","IN","India","Tamil Nadu","Chetput"
"18289664","18289919","IN","India","Tamil Nadu","Chennai"
"18289920","18290175","IN","India","Tamil Nadu","Perungudi"
"18290176","18290431","IN","India","Maharashtra","Mumbai"
"18290432","18290687","IN","India","Delhi","Delhi"
"18290688","18290943","IN","India","Delhi","New Delhi"
"18290944","18291199","IN","India","Tamil Nadu","Perungudi"
"18291200","18291455","IN","India","Tamil Nadu","Chetput"
"18291456","18291711","IN","India","Telangana","Hyderabad"
"18291712","18291967","IN","India","Madhya Pradesh","Indore"
"18291968","18292223","IN","India","Maharashtra","Mumbai"
"18292224","18292479","IN","India","Gujarat","Rajkot"
"18292480","18292735","IN","India","Maharashtra","Mumbai"
"18292736","18292991","IN","India","Telangana","Hyderabad"
"18292992","18293247","IN","India","Telangana","Malkajgiri"
"18293248","18294271","IN","India","Telangana","Hyderabad"
"18294272","18294527","IN","India","Maharashtra","Mumbai"
"18294528","18294783","IN","India","Telangana","Hyderabad"
"18294784","18295039","IN","India","Delhi","New Delhi"
"18295040","18295295","IN","India","Delhi","Delhi"
"18295296","18295551","IN","India","Delhi","New Delhi"
"18295552","18296063","IN","India","Telangana","Hyderabad"
"18296064","18296319","IN","India","Maharashtra","Mumbai"
"18296320","18296831","IN","India","Delhi","New Delhi"
"18296832","18297599","IN","India","Maharashtra","Pune"
"18297600","18297855","IN","India","Delhi","New Delhi"
"18297856","18298111","IN","India","Maharashtra","Pune"
"18298112","18298367","IN","India","Delhi","New Delhi"
"18298368","18300927","IN","India","Maharashtra","Pune"
"18300928","18301439","IN","India","Tamil Nadu","Madipakkam"
"18301440","18301695","IN","India","Tamil Nadu","Chennai"
"18301696","18301951","IN","India","Maharashtra","Mumbai"
"18301952","18302719","IN","India","Tamil Nadu","Chetput"
"18302720","18302975","IN","India","Maharashtra","Mumbai"
"18302976","18303487","IN","India","Tamil Nadu","Porur"
"18303488","18303999","IN","India","Maharashtra","Mumbai"
"18304000","18304255","IN","India","Maharashtra","Pune"
"18304256","18304511","IN","India","Maharashtra","Mumbai"
"18304512","18305023","IN","India","Telangana","Hyderabad"
"18305024","18305279","IN","India","Maharashtra","Mumbai"
"18305280","18305535","IN","India","Maharashtra","Powai"
"18305536","18305791","IN","India","Maharashtra","Mumbai"
"18305792","18306047","IN","India","Maharashtra","Powai"
"18306048","18306815","IN","India","Maharashtra","Mumbai"
"18306816","18307071","IN","India","Maharashtra","Borivli"
"18307072","18307327","IN","India","Maharashtra","Powai"
"18307328","18308351","IN","India","Maharashtra","Mumbai"
"18308352","18308607","IN","India","Maharashtra","Powai"
"18308608","18309119","IN","India","Maharashtra","Mumbai"
"18309120","18309375","IN","India","Delhi","New Delhi"
"18309376","18309631","IN","India","Delhi","Delhi"
"18309632","18309887","IN","India","Delhi","New Delhi"
"18309888","18310143","IN","India","Maharashtra","Mumbai"
"18310144","18311167","IN","India","Delhi","New Delhi"
"18311168","18311423","IN","India","Uttar Pradesh","Noida"
"18311424","18311679","IN","India","Delhi","New Delhi"
"18311680","18311935","IN","India","Uttar Pradesh","Pihani"
"18311936","18312191","IN","India","Uttar Pradesh","Noida"
"18312192","18312447","IN","India","Haryana","Gurgaon"
"18312448","18312703","IN","India","Uttar Pradesh","Noida"
"18312704","18313215","IN","India","Haryana","Gurgaon"
"18313216","18313983","IN","India","Delhi","New Delhi"
"18313984","18314495","IN","India","Delhi","Delhi"
"18314496","18314751","IN","India","Maharashtra","Pune"
"18314752","18315263","IN","India","Delhi","New Delhi"
"18315264","18315519","IN","India","Tamil Nadu","Chetput"
"18315520","18315775","IN","India","Maharashtra","Powai"
"18315776","18316287","IN","India","Maharashtra","Mumbai"
"18316288","18316799","IN","India","Tamil Nadu","Chetput"
"18316800","18317311","IN","India","Tamil Nadu","Chennai"
"18317312","18317567","IN","India","Maharashtra","Mumbai"
"18317568","18318079","IN","India","Telangana","Hyderabad"
"18318080","18318335","IN","India","Delhi","New Delhi"
"18318336","18318591","IN","India","Maharashtra","Mumbai"
"18318592","18318847","IN","India","Delhi","New Delhi"
"18318848","18319103","IN","India","Uttar Pradesh","Benares"
"18319104","18319359","IN","India","Maharashtra","Mumbai"
"18319360","18319871","IN","India","Gujarat","Ahmedabad"
"18319872","18320639","IN","India","Delhi","New Delhi"
"18320640","18321407","IN","India","Gujarat","Ahmedabad"
"18321408","18321663","IN","India","Karnataka","Bangalore"
"18321664","18321919","IN","India","Delhi","New Delhi"
"18321920","18322175","IN","India","Maharashtra","Mumbai"
"18322176","18322431","IN","India","Uttar Pradesh","Kanpur"
"18322432","18323199","IN","India","Maharashtra","Pune"
"18323200","18323455","IN","India","Delhi","New Delhi"
"18323456","18323711","IN","India","West Bengal","Dam Dam"
"18323712","18323967","IN","India","Maharashtra","Mumbai"
"18323968","18324223","IN","India","Delhi","New Delhi"
"18324224","18324479","IN","India","West Bengal","Kolkata"
"18324480","18324735","IN","India","West Bengal","Mahiari"
"18324736","18325247","IN","India","Delhi","New Delhi"
"18325248","18325503","IN","India","Delhi","Delhi"
"18325504","18325759","IN","India","West Bengal","Kolkata"
"18325760","18326527","IN","India","Maharashtra","Mumbai"
"18326528","18326783","IN","India","Tamil Nadu","Chennai"
"18326784","18327039","IN","India","Uttar Pradesh","Noida"
"18327040","18327295","IN","India","Maharashtra","Mumbai"
